Target,AccMeanX,AccMeanY,AccMeanZ,AccCovX,AccCovY,AccCovZ,AccSkewX,AccSkewY,AccSkewZ,AccKurtX,AccKurtY,AccKurtZ,AccSumX,AccSumY,AccSumZ,AccMinX,AccMinY,AccMinZ,AccMaxX,AccMaxY,AccMaxZ,AccVarX,AccVarY,AccVarZ,AccMedianX,AccMedianY,AccMedianZ,AccStdX,AccStdY,AccStdZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroCovX,GyroCovY,GyroCovZ,GyroSkewX,GyroSkewY,GyroSkewZ,GyroSumX,GyroSumY,GyroSumZ,GyroKurtX,GyroKurtY,GyroKurtZ,GyroMinX,GyroMinY,GyroMinZ,GyroMaxX,GyroMaxY,GyroMaxZ,GyroVarX,GyroVarY,GyroVarZ,GyroMedianX,GyroMedianY,GyroMedianZ,GyroStdX,GyroStdY,GyroStdZ
1,0.308244978,-0.158970424,-0.958583287,0.015165666,0.004273624,0.001710246,0.169246121,-0.577855773,0.850180934,-1.32372027,-1.354273316,0.823835529,4.315429688,-2.225585938,-13.42016602,0.158935547,-0.257568359,-1.013183594,0.512207031,-0.086669922,-0.862548828,0.015165666,0.004273624,0.001710246,0.314575195,-0.140991211,-0.969726563,0.123148957,0.065372962,0.041355123,-0.211559433,4.349509269,-0.019629226,1.775129014,2.154269104,1.015412535,1.661898659,2.20776028,-1.105366454,-2.961832061,60.89312977,-0.27480916,2.957015699,6.184846388,0.23921894,-1.503816794,2.694656489,-2.221374046,3.351145038,8.72519084,0.877862595,1.775129014,2.154269104,1.015412535,-0.874045802,4.026717557,0.393129771,1.332339677,1.46774286,1.007676801
1,0.337873186,-0.17401995,-0.950823103,0.01816087,0.005100885,0.002371162,0.174542179,-0.439925721,0.684742131,-0.980119622,-1.431499245,-0.266539394,4.730224609,-2.436279297,-13.31152344,0.158935547,-0.297363281,-1.013183594,0.577392578,-0.095458984,-0.860839844,0.01816087,0.005100885,0.002371162,0.334838867,-0.151123047,-0.960083008,0.134762273,0.071420478,0.048694577,-0.053980371,4.114503817,0.007088332,1.881076182,3.258918926,1.073977797,1.248016421,0.712740857,-1.009202648,-0.755725191,57.60305344,0.099236641,1.46781164,3.672468151,0.121670292,-1.503816794,0.404580153,-2.221374046,3.351145038,8.72519084,1.198473282,1.881076182,3.258918926,1.073977797,-0.484732824,4.026717557,0.393129771,1.371523307,1.805247608,1.036329
1,0.350115095,-0.172014509,-0.953613281,0.015985062,0.005474381,0.002854916,0.060480269,-0.34655549,0.230124476,-0.600516432,-1.38999724,0.025971383,4.901611328,-2.408203125,-13.35058594,0.158935547,-0.297363281,-1.052246094,0.577392578,-0.072509766,-0.860839844,0.015985062,0.005474381,0.002854916,0.347045898,-0.151123047,-0.960083008,0.126432046,0.073989063,0.053431412,-0.005997819,3.842966194,0.051254089,1.825007316,4.045628633,1.179762956,1.204082104,0.563579355,-0.847718251,-0.083969466,53.80152672,0.717557252,1.534157975,2.252545502,-0.044054632,-1.503816794,0.404580153,-2.221374046,3.351145038,8.72519084,1.450381679,1.825007316,4.045628633,1.179762956,-0.183206107,3.847328244,0.393129771,1.350928316,2.011374812,1.086168935
1,0.362095424,-0.169817243,-0.957502093,0.017288436,0.005691682,0.002714913,-0.156096391,-0.384714143,0.461694732,-0.913769988,-1.467076575,0.518572279,5.069335938,-2.377441406,-13.4050293,0.158935547,-0.297363281,-1.052246094,0.577392578,-0.072509766,-0.860839844,0.017288436,0.005691682,0.002714913,0.365478516,-0.151123047,-0.968017578,0.131485497,0.075443234,0.05210483,-0.122682661,3.704471101,0.058887677,1.81651118,4.276426679,1.189400192,1.476311476,0.692917274,-0.854193005,-1.717557252,51.86259542,0.824427481,2.214043024,1.895051161,-0.06553381,-1.503816794,0.404580153,-2.221374046,3.351145038,8.72519084,1.450381679,1.81651118,4.276426679,1.189400192,-0.538167939,3.690839695,0.446564885,1.347780093,2.067952291,1.090596255
1,0.360316685,-0.171700614,-0.951398577,0.016880162,0.005972518,0.003509031,-0.148171608,-0.349212777,0.46524283,-0.834507353,-1.607714507,-0.332702521,5.044433594,-2.403808594,-13.31958008,0.158935547,-0.297363281,-1.052246094,0.577392578,-0.072509766,-0.851318359,0.016880162,0.005972518,0.003509031,0.365478516,-0.151123047,-0.968017578,0.129923679,0.077282066,0.059237071,-0.020174482,3.987459106,0.215921483,2.064866286,5.922011064,1.429515301,1.17048049,0.710566031,-0.756059426,-0.282442748,55.82442748,3.022900763,0.708861296,0.455120032,-0.091012315,-1.503816794,0.404580153,-2.221374046,3.351145038,8.72519084,1.946564885,2.064866286,5.922011064,1.429515301,-0.538167939,3.690839695,0.694656489,1.43696426,2.433518248,1.195623394
1,0.341169085,-0.158238002,-0.956124442,0.019303099,0.006126237,0.003809456,0.077701828,-0.615954499,0.575237569,-1.120786445,-1.157418987,-0.5298438,4.776367188,-2.215332031,-13.38574219,0.157958984,-0.297363281,-1.052246094,0.577392578,-0.065429688,-0.851318359,0.019303099,0.006126237,0.003809456,0.347045898,-0.126586914,-0.970703125,0.138935593,0.078270285,0.061720791,-0.303162486,4.112868048,0.281897492,1.131155425,5.792993761,1.44458557,0.968009821,0.566437212,-0.923639649,-4.244274809,57.58015267,3.946564885,-0.303130918,0.45167459,0.0859371,-1.503816794,0.404580153,-2.221374046,1.770992366,8.72519084,1.946564885,1.131155425,5.792993761,1.44458557,-0.72519084,3.904580153,0.717557252,1.063557908,2.406863885,1.201909136
1,0.324881417,-0.154000419,-0.960972377,0.021521976,0.00652948,0.003757925,0.272944971,-0.669740175,0.833572387,-1.294044958,-1.217965859,-0.145449276,4.548339844,-2.156005859,-13.45361328,0.155761719,-0.297363281,-1.052246094,0.577392578,-0.065429688,-0.851318359,0.021521976,0.00652948,0.003757925,0.326660156,-0.110595703,-0.974609375,0.1467037,0.080805195,0.061301915,-0.249182116,4.197928026,0.458015267,1.032355181,5.723966815,1.143541034,1.064661223,0.45760436,-1.348199001,-3.488549618,58.77099237,6.41221374,-0.163177328,0.452247584,2.062633805,-1.358778626,0.404580153,-2.221374046,1.770992366,8.72519084,1.946564885,1.032355181,5.723966815,1.143541034,-0.679389313,4.095419847,0.759541985,1.016048808,2.392481309,1.069364781
1,0.321428571,-0.148908343,-0.974609375,0.02109465,0.00575928,0.003470577,0.350482193,-0.823966552,0.999146471,-1.160698184,-0.627576124,1.027161527,4.5,-2.084716797,-13.64453125,0.155761719,-0.297363281,-1.053466797,0.577392578,-0.065429688,-0.851318359,0.02109465,0.00575928,0.003470577,0.326660156,-0.110595703,-0.979003906,0.145239973,0.075889921,0.058911601,-0.388222465,3.958015267,0.659760087,0.821467793,4.190384727,1.10302622,1.535583234,0.188671368,-1.667975698,-5.435114504,55.41221374,9.236641221,1.816884467,1.244052528,3.914689766,-1.358778626,0.404580153,-2.221374046,1.770992366,8.526717557,1.946564885,0.821467793,4.190384727,1.10302622,-0.679389313,4.095419847,0.79389313,0.906348604,2.047042923,1.050250551
1,0.333565848,-0.154418945,-0.963065011,0.023823531,0.005677524,0.005451729,0.197912712,-0.610278573,0.980059156,-1.569173044,-0.836204865,0.207904934,4.669921875,-2.161865234,-13.48291016,0.155761719,-0.297363281,-1.053466797,0.577392578,-0.065429688,-0.808349609,0.023823531,0.005677524,0.005451729,0.326782227,-0.136108398,-0.979003906,0.154348732,0.075349343,0.073835825,-0.338604144,3.845147219,0.731733915,0.78158084,4.332546773,0.976237328,1.501702913,0.340237154,-2.062948944,-4.740458015,53.83206107,10.24427481,1.87234449,1.015734966,6.478884621,-1.358778626,0.404580153,-2.221374046,1.770992366,8.526717557,1.946564885,0.78158084,4.332546773,0.976237328,-0.599236641,3.904580153,0.79389313,0.884070608,2.081477065,0.98804723
1,0.359776088,-0.151436942,-0.967442104,0.030225961,0.005139511,0.006146418,0.118395968,-0.643317046,0.806495305,-1.509367204,-0.503388568,-0.036359461,5.036865234,-2.120117188,-13.54418945,0.155761719,-0.297363281,-1.069580078,0.643554688,-0.065429688,-0.808349609,0.030225961,0.005139511,0.006146418,0.351806641,-0.136108398,-0.979003906,0.173856151,0.071690381,0.078399096,-0.248091603,4.140130862,1.021264995,0.972704209,6.337846612,0.308258695,1.181108718,0.63978914,0.57289087,-3.473282443,57.96183206,14.29770992,0.153225178,0.411997015,-0.749010755,-1.358778626,0.404580153,0.198473282,1.770992366,9.213740458,1.946564885,0.972704209,6.337846612,0.308258695,-0.599236641,3.904580153,0.812977099,0.986257679,2.517508016,0.555210497
